Designator,Mid X,Mid Y,Rotation,Layer
AE1,2.95,1.75,180.0,top
C1,18.442429,2.303751,135.0,top
C10,20.0,10.25,90.0,top
C11,19.5,6.0,180.0,top
C12,16.25,5.75,0.0,top
C13,16.25,9.75,0.0,top
C14,41.265,12.75,180.0,top
C15,72.77,65.25,180.0,top
C16,69.5,57.25,90.0,top
C17,66.0,61.5,0.0,top
C18,68.0,57.23,90.0,top
C19,70.5,66.5,90.0,top
C20,67.25,64.75,180.0,top
C21,63.0,62.75,180.0,top
C22,75.25,61.75,270.0,top
C23,63.0,60.25,180.0,top
C24,46.75,61.0,0.0,top
C25,41.0,52.5,180.0,top
C26,41.0,73.5,180.0,top
C27,35.25,66.983,180.0,top
C28,46.75,59.0,180.0,top
C29,46.5,63.733,0.0,top
C3,20.563749,4.425071,135.0,top
C30,35.25,67.983,180.0,top
C31,35.25,68.983,180.0,top
C32,46.75,60.0,180.0,top
C33,46.5,64.733,180.0,top
C34,35.25,58.233,180.0,top
C35,35.25,57.233,180.0,top
C36,35.25,59.75,90.0,top
C37,35.25,61.75,270.0,top
C38,35.25,63.75,90.0,top
C39,35.25,65.5,270.0,top
C4,5.23,15.25,0.0,top
C40,8.75,52.0,90.0,top
C41,10.0,57.5,90.0,top
C42,8.5,62.25,270.0,top
C43,6.75,70.75,180.0,top
C44,63.75,8.525,90.0,top
C45,61.75,8.525,90.0,top
C46,60.25,8.545,90.0,top
C47,70.9325,19.03,180.0,top
C48,55.75,8.525,0.0,top
C49,72.9325,19.03,0.0,top
C5,21.58,1.905,90.0,top
C50,54.85,16.275,90.0,top
C51,56.85,16.275,90.0,top
C52,58.85,16.275,90.0,top
C53,61.75,14.0,90.0,top
C54,80.25,38.25,0.0,top
C55,57.25,38.5,0.0,top
C56,65.25,38.5,0.0,top
C57,73.0,38.25,0.0,top
C58,80.25,44.0,0.0,top
C59,57.25,44.25,0.0,top
C6,23.08,1.405,0.0,top
C60,65.25,44.26,0.0,top
C61,73.0,44.01,0.0,top
C62,17.25,27.0,0.0,top
C7,28.0,13.25,0.0,top
C8,23.58,2.905,270.0,top
C9,29.822172,7.903638,0.0,top
D1,47.0,14.25,0.0,top
D10,39.75,10.25,0.0,top
D11,54.0,39.0,180.0,top
D12,79.6825,15.05,270.0,top
D13,54.75,2.525,180.0,top
D14,51.5,11.0,90.0,top
D2,47.0625,10.75,180.0,top
D3,62.0,39.51,180.0,top
D4,42.265,15.0,0.0,top
D5,77.0,39.25,180.0,top
D6,37.5,10.25,180.0,top
D7,70.0,39.26,180.0,top
D8,44.9525,5.525,90.0,top
D9,47.4525,6.25,270.0,top
FID1,75.1425,28.775,90.0,top
FID2,79.0,68.0,90.0,top
FID3,11.0,41.75,90.0,top
H1,5.0,75.0,0.0,top
H2,80.0,75.0,0.0,top
H3,80.0,5.0,0.0,top
H5,51.0,74.0,90.0,top
H6,6.0,41.75,90.0,top
H7,70.5,9.0,90.0,top
J1,12.6,25.625,270.0,top
J2,13.73,14.25,90.0,top
J3,38.75,3.75,0.0,top
J4,70.25,74.05,0.0,top
J5,59.75,70.5,270.0,top
J6,3.75,55.963,90.0,top
J7,3.725,65.75,90.0,top
J8,70.495,5.275,0.0,top
JP1,60.52,3.775,270.0,top
L1,6.75,1.75,0.0,top
L10,56.75,12.025,0.0,top
L3,19.8425,3.025,45.0,top
L4,22.58,2.905,90.0,top
L5,19.5,7.0,180.0,top
L6,28.0,53.9915,270.0,top
L7,16.25,56.5,270.0,top
L8,16.25,69.5085,90.0,top
L9,28.0,71.9715,90.0,top
MK1,80.05,62.75,270.0,top
Q1,75.1375,13.02,0.0,top
Q2,70.6375,13.03,180.0,top
R1,9.75,1.75,0.0,top
R10,17.25,30.0,0.0,top
R11,17.25,28.0,0.0,top
R12,17.25,25.0,0.0,top
R13,17.25,29.0,0.0,top
R14,17.26,26.0,180.0,top
R15,18.75,11.0,270.0,top
R16,12.5,8.0,270.0,top
R17,78.0,47.0,0.0,top
R18,30.5,11.0,0.0,top
R19,30.5,10.0,0.0,top
R2,3.25,15.25,0.0,top
R20,74.5,47.0,180.0,top
R21,41.265,13.75,180.0,top
R22,43.265,12.75,0.0,top
R23,47.0625,12.25,180.0,top
R24,62.1025,41.025,180.0,top
R25,43.265,13.75,180.0,top
R26,35.51,9.75,0.0,top
R27,42.0,9.75,180.0,top
R28,77.0,40.75,180.0,top
R29,70.0,40.51,180.0,top
R3,17.25,33.0,0.0,top
R30,54.0,40.5,180.0,top
R31,74.25,61.0,270.0,top
R33,50.0,62.25,180.0,top
R34,46.75,58.0,0.0,top
R35,47.0,66.223,270.0,top
R36,54.75,4.025,180.0,top
R37,68.6825,16.47,90.0,top
R38,69.9325,16.53,270.0,top
R39,56.0,6.775,270.0,top
R4,18.75,24.5,90.0,top
R40,55.0,6.775,90.0,top
R41,80.25,43.0,0.0,top
R42,81.75,43.5,90.0,top
R43,57.25,43.25,0.0,top
R44,58.75,43.75,90.0,top
R45,65.25,43.26,0.0,top
R46,66.75,43.76,90.0,top
R47,73.0,43.01,0.0,top
R48,74.5,43.51,90.0,top
R5,17.26,22.0,180.0,top
R6,17.25,32.0,180.0,top
R7,17.25,24.0,0.0,top
R8,17.25,23.0,0.0,top
R9,17.25,31.0,0.0,top
SW1,83.25,50.75,90.0,top
SW2,75.1425,28.775,270.0,top
SW3,59.5925,28.775,270.0,top
SW5,10.0,8.75,90.0,top
SW6,4.25,13.0,180.0,top
SW7,9.0,41.75,180.0,top
TP1,51.0,50.25,0.0,top
TP10,51.75,65.0,0.0,top
TP11,51.75,60.0,0.0,top
TP12,38.3225,14.25,270.0,top
TP13,65.25,13.025,0.0,top
TP14,51.5,3.75,90.0,top
TP15,51.0,56.8,0.0,top
TP16,77.0,43.5,270.0,top
TP17,62.0,43.76,270.0,top
TP18,69.75,43.51,270.0,top
TP19,54.0,43.5,90.0,top
TP2,51.0,53.5,0.0,top
TP3,74.5,49.75,90.0,top
TP4,78.0,49.75,90.0,top
TP5,67.0,49.75,90.0,top
TP6,55.0,49.75,90.0,top
TP7,59.0,49.75,90.0,top
TP8,71.0,49.75,90.0,top
TP9,63.0,49.75,90.0,top
U1,24.75,8.5,180.0,top
U10,73.0,40.76,180.0,top
U2,36.106726,30.71,180.0,top
U3,70.5,61.5,90.0,top
U4,40.75,63.0,90.0,top
U5,58.0,8.275,180.0,top
U6,72.9325,16.78,0.0,top
U7,80.25,40.75,180.0,top
U8,57.23,41.0,180.0,top
U9,65.25,41.01,180.0,top
Y1,16.25,7.75,90.0,top
